id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,seed
15,../../data/_sponsor\verify\reference\00015.png,../../data/_sponsor\verify\search\00015.png,141.0,420.0,91.0,370.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
16,../../data/_sponsor\verify\reference\00016.png,../../data/_sponsor\verify\search\00016.png,115.8,334.0,65.8,284.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
17,../../data/_sponsor\verify\reference\00017.png,../../data/_sponsor\verify\search\00017.png,101.7,396.4,51.7,346.4,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
18,../../data/_sponsor\verify\reference\00018.png,../../data/_sponsor\verify\search\00018.png,554.3,132.7,504.3,82.7,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
19,../../data/_sponsor\verify\reference\00019.png,../../data/_sponsor\verify\search\00019.png,424.9,677.9,374.9,627.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
20,../../data/_sponsor\verify\reference\00020.png,../../data/_sponsor\verify\search\00020.png,712.4,380.4,662.4,330.4,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
21,../../data/_sponsor\verify\reference\00021.png,../../data/_sponsor\verify\search\00021.png,615.7,652.0,565.7,602.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
22,../../data/_sponsor\verify\reference\00022.png,../../data/_sponsor\verify\search\00022.png,711.1,873.6,661.1,823.6,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
23,../../data/_sponsor\verify\reference\00023.png,../../data/_sponsor\verify\search\00023.png,345.8,195.1,295.8,145.1,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
24,../../data/_sponsor\verify\reference\00024.png,../../data/_sponsor\verify\search\00024.png,350.1,331.9,300.1,281.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
25,../../data/_sponsor\verify\reference\00025.png,../../data/_sponsor\verify\search\00025.png,854.9,138.2,804.9,88.2,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
26,../../data/_sponsor\verify\reference\00026.png,../../data/_sponsor\verify\search\00026.png,355.3,478.9,305.3,428.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
27,../../data/_sponsor\verify\reference\00027.png,../../data/_sponsor\verify\search\00027.png,338.1,664.1,288.1,614.1,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
28,../../data/_sponsor\verify\reference\00028.png,../../data/_sponsor\verify\search\00028.png,900.1,614.0,850.1,564.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
29,../../data/_sponsor\verify\reference\00029.png,../../data/_sponsor\verify\search\00029.png,426.2,271.7,376.2,221.7,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
30,../../data/_sponsor\verify\reference\00030.png,../../data/_sponsor\verify\search\00030.png,56.9,668.6,6.9,618.6,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
31,../../data/_sponsor\verify\reference\00031.png,../../data/_sponsor\verify\search\00031.png,373.6,657.4,323.6,607.4,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
32,../../data/_sponsor\verify\reference\00032.png,../../data/_sponsor\verify\search\00032.png,408.4,867.9,358.4,817.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
33,../../data/_sponsor\verify\reference\00033.png,../../data/_sponsor\verify\search\00033.png,209.0,790.3,159.0,740.3,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
34,../../data/_sponsor\verify\reference\00034.png,../../data/_sponsor\verify\search\00034.png,89.0,780.8,39.0,730.8,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
35,../../data/_sponsor\verify\reference\00035.png,../../data/_sponsor\verify\search\00035.png,231.1,767.9,181.1,717.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
36,../../data/_sponsor\verify\reference\00036.png,../../data/_sponsor\verify\search\00036.png,896.1,366.2,846.1,316.2,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
37,../../data/_sponsor\verify\reference\00037.png,../../data/_sponsor\verify\search\00037.png,383.0,419.5,333.0,369.5,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
38,../../data/_sponsor\verify\reference\00038.png,../../data/_sponsor\verify\search\00038.png,287.5,714.8,237.5,664.8,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
39,../../data/_sponsor\verify\reference\00039.png,../../data/_sponsor\verify\search\00039.png,277.2,124.0,227.2,74.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
