id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,preset,scale_ratio,rotation_deg,beam_spot_size_nm,dose_reference,dose_search,detector_noise_sigma_ref,detector_noise_sigma_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,edge_brightness_A,edge_sigma_nm,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,ambiguity_level,seed
17,data/bench/reference/00017.png,data/bench/search/00017.png,656.829524,356.090186,608.0008360863537,307.26149768920294,97.65737661099105,97.65737661099105,dram,dram_dense,10.239881867638179,0.0688595160383132,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7205421932584191,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403719
18,data/bench/reference/00018.png,data/bench/search/00018.png,506.507118,271.678673,452.63103372914185,217.80258849075292,107.75216871890605,107.75216871890605,dram,dram_1x,9.280555666667908,0.2961482029980269,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7024137422268694,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403720
19,data/bench/reference/00019.png,data/bench/search/00019.png,663.787570,941.145678,614.7406297450824,892.0987378267524,98.0938796302528,98.0938796302528,dram,dram_loose,10.194315932546656,-1.557573308998728,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.729982055721842,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403721
20,data/bench/reference/00020.png,data/bench/search/00020.png,519.546191,833.276097,469.9130385216946,783.6429449593655,99.26630477261524,99.26630477261524,dram,dram_dense,10.073911810162109,0.6936329068653877,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39574410724510845,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403722
21,data/bench/reference/00021.png,data/bench/search/00021.png,805.031545,505.279944,757.5818872234714,457.8302863753457,94.89931466179043,94.89931466179043,dram,dram_1x,10.537483896104813,-1.4983750134550782,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6040909480733665,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403723
22,data/bench/reference/00022.png,data/bench/search/00022.png,258.260944,130.127450,211.49943842911853,83.36594400678109,93.52301169888413,93.52301169888413,dram,dram_dense,10.692555573591857,-1.310024758198229,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.41324971367353763,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403724
23,data/bench/reference/00023.png,data/bench/search/00023.png,495.439370,826.258379,447.9456893134118,778.7646984817186,94.9873613101517,94.9873613101517,dram,dram_1x,10.5277163846547,1.0849512355019866,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3717065823088997,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403725
24,data/bench/reference/00024.png,data/bench/search/00024.png,192.816215,952.800599,145.61184074213014,905.5962251782686,94.4087481573914,94.4087481573914,dram,dram_1x,10.592238743944288,1.8796903847909898,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73099817912607,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403726
25,data/bench/reference/00025.png,data/bench/search/00025.png,225.933439,220.199954,179.83662654683133,174.1031413821383,92.19362467494898,92.19362467494898,dram,dram_loose,10.846737000803937,-0.7931548950915581,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6095063961251053,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403727
26,data/bench/reference/00026.png,data/bench/search/00026.png,353.502494,806.562239,302.8152575624668,755.8750024395732,101.37447301002778,101.37447301002778,dram,dram_loose,9.864416260897176,-1.030426254534936,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.40668802806337356,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403728
27,data/bench/reference/00027.png,data/bench/search/00027.png,623.041774,472.039332,569.9470664464889,418.9446239096856,106.18941523826082,106.18941523826082,dram,dram_legacy,9.417134445615561,0.12337870609653079,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5339704641254103,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403729
28,data/bench/reference/00028.png,data/bench/search/00028.png,944.355825,514.833771,888.8636132180106,459.34155954935704,110.9844235575642,110.9844235575642,dram,dram_1x,9.010273405450729,-1.094881334260605,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5874672685701589,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403730
29,data/bench/reference/00029.png,data/bench/search/00029.png,767.422108,703.136951,718.6093617562441,654.3242048431522,97.62549296947493,97.62549296947493,dram,dram_legacy,10.243226124478317,-1.9867875194432316,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.475453287072641,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403731
